estacao,nome,hora_manaus,nivel_cm,nivel_m,nivel_min_cm,nivel_max_cm,medicoes,ultima_medicao_manaus
14420000,Serrinha,2026-08-27 22:00:00,736.5,7.365,736.0,737.0,4,2026-08-27 22:45:00
14480002,Barcelos,2026-08-27 22:00:00,516.5,5.165,516.0,517.0,4,2026-08-27 22:45:00
14110000,Cucuí,2026-08-27 23:00:00,1720.0,17.200,1720.0,1720.0,4,2026-08-27 23:45:00
14280001,Taracuá,2026-08-27 23:00:00,1408.0,14.080,1407.0,1408.0,4,2026-08-27 23:45:00
14330000,Curicuriari,2026-08-27 23:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-27 23:45:00
14420000,Serrinha,2026-08-27 23:00:00,737.0,7.370,737.0,737.0,4,2026-08-27 23:45:00
14480002,Barcelos,2026-08-27 23:00:00,516.0,5.160,516.0,516.0,4,2026-08-27 23:45:00
14110000,Cucuí,2026-08-28 00:00:00,1720.0,17.200,1720.0,1720.0,4,2026-08-28 00:45:00
14280001,Taracuá,2026-08-28 00:00:00,1407.0,14.070,1407.0,1408.0,4,2026-08-28 00:45:00
14330000,Curicuriari,2026-08-28 00:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-28 00:45:00
14420000,Serrinha,2026-08-28 00:00:00,737.0,7.370,737.0,737.0,4,2026-08-28 00:45:00
14480002,Barcelos,2026-08-28 00:00:00,516.0,5.160,516.0,516.0,4,2026-08-28 00:45:00
14110000,Cucuí,2026-08-28 01:00:00,1720.0,17.200,1720.0,1720.0,4,2026-08-28 01:45:00
14280001,Taracuá,2026-08-28 01:00:00,1407.0,14.070,1407.0,1407.0,4,2026-08-28 01:45:00
14330000,Curicuriari,2026-08-28 01:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-28 01:45:00
14420000,Serrinha,2026-08-28 01:00:00,737.0,7.370,737.0,737.0,4,2026-08-28 01:45:00
14480002,Barcelos,2026-08-28 01:00:00,515.0,5.150,515.0,515.0,4,2026-08-28 01:45:00
14110000,Cucuí,2026-08-28 02:00:00,1720.0,17.200,1720.0,1721.0,4,2026-08-28 02:45:00
14280001,Taracuá,2026-08-28 02:00:00,1407.0,14.070,1407.0,1407.0,4,2026-08-28 02:45:00
14330000,Curicuriari,2026-08-28 02:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-28 02:45:00
14420000,Serrinha,2026-08-28 02:00:00,737.0,7.370,737.0,738.0,4,2026-08-28 02:45:00
14480002,Barcelos,2026-08-28 02:00:00,515.0,5.150,515.0,515.0,4,2026-08-28 02:45:00
14110000,Cucuí,2026-08-28 03:00:00,1721.0,17.210,1721.0,1721.0,4,2026-08-28 03:45:00
14280001,Taracuá,2026-08-28 03:00:00,1406.5,14.065,1406.0,1407.0,4,2026-08-28 03:45:00
14330000,Curicuriari,2026-08-28 03:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-28 03:45:00
14420000,Serrinha,2026-08-28 03:00:00,738.0,7.380,738.0,738.0,4,2026-08-28 03:45:00
14480002,Barcelos,2026-08-28 03:00:00,515.0,5.150,515.0,515.0,4,2026-08-28 03:45:00
14110000,Cucuí,2026-08-28 04:00:00,1721.0,17.210,1721.0,1721.0,4,2026-08-28 04:45:00
14280001,Taracuá,2026-08-28 04:00:00,1406.0,14.060,1406.0,1406.0,4,2026-08-28 04:45:00
14330000,Curicuriari,2026-08-28 04:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-28 04:45:00
14420000,Serrinha,2026-08-28 04:00:00,738.0,7.380,738.0,738.0,4,2026-08-28 04:45:00
14480002,Barcelos,2026-08-28 04:00:00,514.0,5.140,514.0,514.0,4,2026-08-28 04:45:00
14110000,Cucuí,2026-08-28 05:00:00,1721.0,17.210,1721.0,1722.0,4,2026-08-28 05:45:00
14280001,Taracuá,2026-08-28 05:00:00,1406.0,14.060,1406.0,1406.0,4,2026-08-28 05:45:00
14330000,Curicuriari,2026-08-28 05:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-28 05:45:00
14420000,Serrinha,2026-08-28 05:00:00,738.0,7.380,738.0,738.0,4,2026-08-28 05:45:00
14480002,Barcelos,2026-08-28 05:00:00,514.0,5.140,514.0,514.0,4,2026-08-28 05:45:00
14110000,Cucuí,2026-08-28 06:00:00,1722.0,17.220,1722.0,1722.0,4,2026-08-28 06:45:00
14280001,Taracuá,2026-08-28 06:00:00,1406.0,14.060,1406.0,1406.0,4,2026-08-28 06:45:00
14330000,Curicuriari,2026-08-28 06:00:00,1084.0,10.840,1084.0,1085.0,4,2026-08-28 06:45:00
14420000,Serrinha,2026-08-28 06:00:00,738.0,7.380,738.0,739.0,4,2026-08-28 06:45:00
14480002,Barcelos,2026-08-28 06:00:00,514.0,5.140,514.0,514.0,4,2026-08-28 06:45:00
14110000,Cucuí,2026-08-28 07:00:00,1722.0,17.220,1722.0,1722.0,4,2026-08-28 07:45:00
14280001,Taracuá,2026-08-28 07:00:00,1405.0,14.050,1405.0,1405.0,4,2026-08-28 07:45:00
14330000,Curicuriari,2026-08-28 07:00:00,1085.0,10.850,1084.0,1085.0,4,2026-08-28 07:45:00
14420000,Serrinha,2026-08-28 07:00:00,739.0,7.390,739.0,739.0,4,2026-08-28 07:45:00
14480002,Barcelos,2026-08-28 07:00:00,513.0,5.130,513.0,513.0,4,2026-08-28 07:45:00
14110000,Cucuí,2026-08-28 08:00:00,1722.0,17.220,1722.0,1722.0,4,2026-08-28 08:45:00
14280001,Taracuá,2026-08-28 08:00:00,1405.0,14.050,1405.0,1405.0,4,2026-08-28 08:45:00
14330000,Curicuriari,2026-08-28 08:00:00,1085.0,10.850,1085.0,1085.0,4,2026-08-28 08:45:00
14420000,Serrinha,2026-08-28 08:00:00,739.0,7.390,739.0,739.0,4,2026-08-28 08:45:00
14480002,Barcelos,2026-08-28 08:00:00,513.0,5.130,513.0,513.0,4,2026-08-28 08:45:00
14110000,Cucuí,2026-08-28 09:00:00,1722.5,17.225,1722.0,1723.0,4,2026-08-28 09:45:00
14280001,Taracuá,2026-08-28 09:00:00,1404.0,14.040,1404.0,1404.0,4,2026-08-28 09:45:00
14330000,Curicuriari,2026-08-28 09:00:00,1085.0,10.850,1085.0,1085.0,4,2026-08-28 09:45:00
14420000,Serrinha,2026-08-28 09:00:00,739.0,7.390,739.0,739.0,4,2026-08-28 09:45:00
14480002,Barcelos,2026-08-28 09:00:00,512.5,5.125,512.0,513.0,4,2026-08-28 09:45:00
14110000,Cucuí,2026-08-28 10:00:00,1723.0,17.230,1723.0,1723.0,4,2026-08-28 10:45:00
14280001,Taracuá,2026-08-28 10:00:00,1404.0,14.040,1404.0,1404.0,4,2026-08-28 10:45:00
14330000,Curicuriari,2026-08-28 10:00:00,1085.0,10.850,1085.0,1085.0,4,2026-08-28 10:45:00
14420000,Serrinha,2026-08-28 10:00:00,739.0,7.390,739.0,739.0,4,2026-08-28 10:45:00
14480002,Barcelos,2026-08-28 10:00:00,512.0,5.120,512.0,512.0,4,2026-08-28 10:45:00
14110000,Cucuí,2026-08-28 11:00:00,1723.0,17.230,1723.0,1723.0,4,2026-08-28 11:45:00
14280001,Taracuá,2026-08-28 11:00:00,1403.5,14.035,1403.0,1404.0,4,2026-08-28 11:45:00
14330000,Curicuriari,2026-08-28 11:00:00,1085.0,10.850,1085.0,1085.0,4,2026-08-28 11:45:00
14420000,Serrinha,2026-08-28 11:00:00,739.0,7.390,739.0,739.0,4,2026-08-28 11:45:00
14480002,Barcelos,2026-08-28 11:00:00,512.0,5.120,512.0,512.0,4,2026-08-28 11:45:00
14110000,Cucuí,2026-08-28 12:00:00,1723.0,17.230,1723.0,1724.0,4,2026-08-28 12:45:00
14280001,Taracuá,2026-08-28 12:00:00,1403.0,14.030,1403.0,1403.0,4,2026-08-28 12:45:00
14330000,Curicuriari,2026-08-28 12:00:00,1085.0,10.850,1085.0,1085.0,4,2026-08-28 12:45:00
14420000,Serrinha,2026-08-28 12:00:00,739.0,7.390,739.0,739.0,4,2026-08-28 12:45:00
14480002,Barcelos,2026-08-28 12:00:00,511.5,5.115,511.0,512.0,4,2026-08-28 12:45:00
14110000,Cucuí,2026-08-28 13:00:00,1724.0,17.240,1724.0,1724.0,4,2026-08-28 13:45:00
14280001,Taracuá,2026-08-28 13:00:00,1403.0,14.030,1403.0,1403.0,4,2026-08-28 13:45:00
14330000,Curicuriari,2026-08-28 13:00:00,1085.0,10.850,1085.0,1085.0,4,2026-08-28 13:45:00
14420000,Serrinha,2026-08-28 13:00:00,739.0,7.390,739.0,739.0,4,2026-08-28 13:45:00
14480002,Barcelos,2026-08-28 13:00:00,511.0,5.110,511.0,511.0,4,2026-08-28 13:45:00
14110000,Cucuí,2026-08-28 14:00:00,1724.0,17.240,1724.0,1724.0,4,2026-08-28 14:45:00
14280001,Taracuá,2026-08-28 14:00:00,1402.0,14.020,1402.0,1402.0,4,2026-08-28 14:45:00
14330000,Curicuriari,2026-08-28 14:00:00,1085.0,10.850,1085.0,1085.0,4,2026-08-28 14:45:00
14420000,Serrinha,2026-08-28 14:00:00,740.0,7.400,739.0,740.0,4,2026-08-28 14:45:00
14480002,Barcelos,2026-08-28 14:00:00,511.0,5.110,511.0,511.0,4,2026-08-28 14:45:00
14110000,Cucuí,2026-08-28 15:00:00,1725.0,17.250,1724.0,1725.0,4,2026-08-28 15:45:00
14280001,Taracuá,2026-08-28 15:00:00,1402.0,14.020,1402.0,1402.0,4,2026-08-28 15:45:00
14330000,Curicuriari,2026-08-28 15:00:00,1085.0,10.850,1085.0,1086.0,4,2026-08-28 15:45:00
